# SPARC Rotation Curves from VizieR (J/AJ/152/157)
# Reference: Lelli, McGaugh & Schombert (2016), AJ, 152, 157
# Format: Galaxy  D(Mpc)  R(kpc)  Vobs  e_Vobs  Vgas  Vdisk  Vbul
#
F583-1                 35.4     4.76    66.60   6.90     7.13    26.09     0.00
F583-1                 35.4     5.40    71.30   2.95    11.25    26.17     0.00
F583-1                 35.4     5.86    72.30  15.50    13.88    25.92     0.00
F583-1                 35.4     6.08    73.40   6.00    14.94    25.73     0.00
F583-1                 35.4     6.43    72.40   5.81    16.72    25.39     0.00
F583-1                 35.4     6.97    77.10  12.10    19.67    24.74     0.00
F583-1                 35.4     7.96    80.30  13.50    24.09    23.76     0.00
F583-1                 35.4    10.29    84.70   6.00    31.66    22.09     0.00
F583-1                 35.4    15.49    86.90   5.60    39.34    17.78     0.00
F583-1                 35.4    16.26    85.80   8.60    39.55    17.09     0.00
F583-4                 53.3     0.22    10.70   4.90     0.47     5.59     0.00
F583-4                 53.3     0.76    24.70   4.90     1.87    17.63     0.00
F583-4                 53.3     1.31    38.90   4.90     3.27    26.64     0.00
F583-4                 53.3     1.94    42.70   7.89     4.87    32.27     0.00
F583-4                 53.3     3.92    55.00   4.90     8.50    38.26     0.00
F583-4                 53.3     4.35    57.20   4.90     9.17    38.43     0.00
F583-4                 53.3     5.00    59.80   4.90    10.30    39.09     0.00
F583-4                 53.3     5.05    62.50   3.43    10.40    39.06     0.00
F583-4                 53.3     5.83    61.80   3.98    12.10    38.38     0.00
F583-4                 53.3     6.09    64.40   4.90    12.72    38.13     0.00
F583-4                 53.3     6.74    67.20   4.90    14.18    39.23     0.00
F583-4                 53.3     7.29    69.90   4.90    15.33    36.96     0.00
IC2574                  3.9     0.85    10.30   1.00     0.00     9.59     0.00
IC2574                  3.9     1.14    12.90   2.70     0.00    11.99     0.00
IC2574                  3.9     1.42    16.40   1.80     0.94    13.83     0.00
IC2574                  3.9     1.71    18.60   2.10     3.44    15.27     0.00
IC2574                  3.9     1.99    19.80   2.00     5.14    16.76     0.00
IC2574                  3.9     2.28    26.10   1.00     5.82    17.77     0.00
IC2574                  3.9     2.55    27.70   2.70     6.87    18.70     0.00
IC2574                  3.9     2.84    29.70   2.60     7.58    19.36     0.00
IC2574                  3.9     3.13    33.00   3.40     8.21    19.89     0.00
IC2574                  3.9     3.41    34.80   1.20     8.78    20.19     0.00
IC2574                  3.9     3.70    35.00   1.00     8.64    20.15     0.00
IC2574                  3.9     3.98    39.00  10.20     7.98    20.39     0.00
IC2574                  3.9     4.26    35.90   5.40     7.97    21.28     0.00
IC2574                  3.9     4.55    40.00   4.10    10.01    22.72     0.00
IC2574                  3.9     4.84    38.70   1.40    11.42    24.60     0.00
IC2574                  3.9     5.12    41.80   1.00    12.67    25.34     0.00
IC2574                  3.9     5.41    42.90   1.00    13.13    25.74     0.00
IC2574                  3.9     5.68    44.40   1.70    13.93    26.48     0.00
IC2574                  3.9     5.97    46.10   1.30    14.50    27.15     0.00
IC2574                  3.9     6.26    49.00   1.00    15.98    27.39     0.00
IC2574                  3.9     6.54    51.90   1.00    17.58    27.31     0.00
IC2574                  3.9     6.83    53.10   2.10    18.38    26.75     0.00
IC2574                  3.9     7.10    54.00   1.00    19.29    26.25     0.00
IC2574                  3.9     7.39    55.90   1.10    19.86    26.04     0.00
IC2574                  3.9     7.68    58.80   3.60    21.01    25.86     0.00
IC2574                  3.9     7.96    57.30   4.60    21.81    25.77     0.00
IC2574                  3.9     8.25    54.00   9.00    22.49    25.57     0.00
